,Gene_stable_ID,Gene_stable_ID_version,Gene_name,Display_name,ENSP
7611,ENSG00000179104,ENSG00000179104.9,TMTC2,TMTC2,ENSP00000322300
7612,ENSG00000179115,ENSG00000179115.11,FARSA,FARSA,ENSP00000320309
7613,ENSG00000179119,ENSG00000179119.15,SPTY2D1,SPTY2D1,ENSP00000337991
7614,ENSG00000179134,ENSG00000179134.15,SAMD4B,SAMD4B,ENSP00000317224
7615,ENSG00000179151,ENSG00000179151.13,EDC3,EDC3,ENSP00000320503
7616,ENSG00000179152,ENSG00000179152.20,TCAIM,TCAIM,ENSP00000341539
7617,ENSG00000179163,ENSG00000179163.12,FUCA1,FUCA1,ENSP00000363603
7618,ENSG00000179195,ENSG00000179195.16,ZNF664,ZNF664,ENSP00000441405
7619,ENSG00000179218,ENSG00000179218.15,CALR,CALR,ENSP00000320866
7620,ENSG00000179222,ENSG00000179222.18,MAGED1,MAGED1,ENSP00000364847
7621,ENSG00000179240,ENSG00000179240.13,GVQW3,GVQW3,ENSP00000323821
7622,ENSG00000179262,ENSG00000179262.10,RAD23A,RAD23A,ENSP00000467024
7623,ENSG00000179271,ENSG00000179271.3,GADD45GIP1,GADD45GIP1,ENSP00000323065
7624,ENSG00000179295,ENSG00000179295.18,PTPN11,PTPN11,ENSP00000340944
7625,ENSG00000179335,ENSG00000179335.20,CLK3,CLK3,ENSP00000378505
7626,ENSG00000179344,ENSG00000179344.16,HLA-DQB1,HLA-DQB1,ENSP00000364080
7627,ENSG00000179361,ENSG00000179361.18,ARID3B,ARID3B,ENSP00000343126
7628,ENSG00000179364,ENSG00000179364.14,PACS2,PACS2,ENSP00000393559
7629,ENSG00000179387,ENSG00000179387.10,ELMOD2,ELMOD2,ENSP00000326342
7630,ENSG00000179409,ENSG00000179409.11,GEMIN4,GEMIN4,ENSP00000321706
7631,ENSG00000179454,ENSG00000179454.14,KLHL28,KLHL28,ENSP00000379434
7632,ENSG00000179456,ENSG00000179456.10,ZBTB18,ZBTB18,ENSP00000351539
7633,ENSG00000179476,ENSG00000179476.8,C14orf28,C14orf28,ENSP00000326846
7634,ENSG00000179526,ENSG00000179526.17,SHARPIN,SHARPIN,ENSP00000381698
7635,ENSG00000179532,ENSG00000179532.13,DNHD1,DNHD1,ENSP00000254579
7636,ENSG00000179562,ENSG00000179562.3,GCC1,GCC1,ENSP00000318821
7637,ENSG00000179583,ENSG00000179583.20,CIITA,CIITA,ENSP00000485010
7638,ENSG00000179588,ENSG00000179588.9,ZFPM1,ZFPM1,ENSP00000326630
7639,ENSG00000179598,ENSG00000179598.6,PLD6,PLD6,ENSP00000317177
7640,ENSG00000179627,ENSG00000179627.10,ZBTB42,ZBTB42,ENSP00000409107
7641,ENSG00000179630,ENSG00000179630.11,LACC1,LACC1,ENSP00000391747
7642,ENSG00000179632,ENSG00000179632.10,MAF1,MAF1,ENSP00000318604
7643,ENSG00000179715,ENSG00000179715.13,PCED1B,PCED1B,ENSP00000446688
7644,ENSG00000179820,ENSG00000179820.16,MYADM,MYADM,ENSP00000375649
7645,ENSG00000179832,ENSG00000179832.18,MROH1,MROH1,ENSP00000435565
7646,ENSG00000179833,ENSG00000179833.4,SERTAD2,SERTAD2,ENSP00000326933
7647,ENSG00000179862,ENSG00000179862.7,CITED4,CITED4,ENSP00000361721
7648,ENSG00000179886,ENSG00000179886.6,TIGD5,TIGD5,ENSP00000421489
7649,ENSG00000179889,ENSG00000179889.19,PDXDC1,PDXDC1,ENSP00000379691
7650,ENSG00000179909,ENSG00000179909.16,ZNF154,ZNF154,ENSP00000421258
7651,ENSG00000179912,ENSG00000179912.20,R3HDM2,R3HDM2,ENSP00000317903
7652,ENSG00000179918,ENSG00000179918.19,SEPHS2,SEPHS2,ENSP00000418669
7653,ENSG00000179922,ENSG00000179922.6,ZNF784,ZNF784,ENSP00000320096
7654,ENSG00000179933,ENSG00000179933.6,C14orf119,C14orf119,ENSP00000322238
7655,ENSG00000179941,ENSG00000179941.9,BBS10,BBS10,ENSP00000376946
7656,ENSG00000179943,ENSG00000179943.8,FIZ1,FIZ1,ENSP00000221665
7657,ENSG00000179950,ENSG00000179950.14,PUF60,PUF60,ENSP00000434359
7658,ENSG00000179958,ENSG00000179958.10,DCTPP1,DCTPP1,ENSP00000322524
7659,ENSG00000179965,ENSG00000179965.12,ZNF771,ZNF771,ENSP00000323945
7660,ENSG00000179981,ENSG00000179981.11,TSHZ1,TSHZ1,ENSP00000323584
7661,ENSG00000179988,ENSG00000179988.15,PSTK,PSTK,ENSP00000357882
7662,ENSG00000180008,ENSG00000180008.9,SOCS4,SOCS4,ENSP00000378855
7663,ENSG00000180011,ENSG00000180011.7,ZADH2,ZADH2,ENSP00000323678
7664,ENSG00000180035,ENSG00000180035.13,ZNF48,ZNF48,ENSP00000480262
7665,ENSG00000180089,ENSG00000180089.6,TMEM86B,TMEM86B,ENSP00000321038
7666,ENSG00000180098,ENSG00000180098.9,TRNAU1AP,TRNAU1AP,ENSP00000362936
7667,ENSG00000180104,ENSG00000180104.16,EXOC3,EXOC3,ENSP00000425587
7668,ENSG00000180182,ENSG00000180182.11,MED14,MED14,ENSP00000323720
7669,ENSG00000180185,ENSG00000180185.11,FAHD1,FAHD1,ENSP00000372112
7670,ENSG00000180198,ENSG00000180198.17,RCC1,RCC1,ENSP00000362937
7671,ENSG00000180209,ENSG00000180209.12,MYLPF,MYLPF,ENSP00000325239
7672,ENSG00000180228,ENSG00000180228.14,PRKRA,PRKRA,ENSP00000318176
7673,ENSG00000180233,ENSG00000180233.11,ZNRF2,ZNRF2,ENSP00000323879
7674,ENSG00000180257,ENSG00000180257.14,ZNF816,ZNF816,ENSP00000350295
7675,ENSG00000180304,ENSG00000180304.14,OAZ2,OAZ2,ENSP00000463013
7676,ENSG00000180329,ENSG00000180329.14,CCDC43,CCDC43,ENSP00000323782
7677,ENSG00000180346,ENSG00000180346.4,TIGD2,TIGD2,ENSP00000317170
7678,ENSG00000180353,ENSG00000180353.11,HCLS1,HCLS1,ENSP00000320176
7679,ENSG00000180354,ENSG00000180354.16,MTURN,MTURN,ENSP00000324204
7680,ENSG00000180357,ENSG00000180357.9,ZNF609,ZNF609,ENSP00000316527
7681,ENSG00000180370,ENSG00000180370.10,PAK2,PAK2,ENSP00000314067
7682,ENSG00000180376,ENSG00000180376.17,CCDC66,CCDC66,ENSP00000378167
7683,ENSG00000180398,ENSG00000180398.13,MCFD2,MCFD2,ENSP00000386651
7684,ENSG00000180423,ENSG00000180423.4,HARBI1,HARBI1,ENSP00000317743
7685,ENSG00000180425,ENSG00000180425.11,C11orf71,C11orf71,ENSP00000325508
7686,ENSG00000180479,ENSG00000180479.14,ZNF571,ZNF571,ENSP00000333660
7687,ENSG00000180530,ENSG00000180530.11,NRIP1,NRIP1,ENSP00000383063
7688,ENSG00000180543,ENSG00000180543.5,TSPYL5,TSPYL5,ENSP00000322802
7689,ENSG00000180549,ENSG00000180549.8,FUT7,FUT7,ENSP00000318142
7690,ENSG00000180626,ENSG00000180626.10,ZNF594,ZNF594,ENSP00000382513
7691,ENSG00000180628,ENSG00000180628.15,PCGF5,PCGF5,ENSP00000445704
7692,ENSG00000180667,ENSG00000180667.11,YOD1,YOD1,ENSP00000326813
7693,ENSG00000180694,ENSG00000180694.14,TMEM64,TMEM64,ENSP00000414786
7694,ENSG00000180773,ENSG00000180773.15,SLC36A4,SLC36A4,ENSP00000317382
7695,ENSG00000180776,ENSG00000180776.16,ZDHHC20,ZDHHC20,ENSP00000371905
7696,ENSG00000180817,ENSG00000180817.12,PPA1,PPA1,ENSP00000362329
7697,ENSG00000180822,ENSG00000180822.12,PSMG4,PSMG4,ENSP00000392353
7698,ENSG00000180855,ENSG00000180855.16,ZNF443,ZNF443,ENSP00000301547
7699,ENSG00000180884,ENSG00000180884.10,ZNF792,ZNF792,ENSP00000385099
7700,ENSG00000180900,ENSG00000180900.20,SCRIB,SCRIB,ENSP00000349486
7701,ENSG00000180901,ENSG00000180901.11,KCTD2,KCTD2,ENSP00000312814
7702,ENSG00000180902,ENSG00000180902.18,D2HGDH,D2HGDH,ENSP00000315351
7703,ENSG00000180917,ENSG00000180917.18,CMTR2,CMTR2,ENSP00000337512
7704,ENSG00000180921,ENSG00000180921.7,FAM83H,FAM83H,ENSP00000373565
7705,ENSG00000180953,ENSG00000180953.11,ST20,ST20,ENSP00000453502
7706,ENSG00000180957,ENSG00000180957.18,PITPNB,PITPNB,ENSP00000321266
7707,ENSG00000180964,ENSG00000180964.17,TCEAL8,TCEAL8,ENSP00000361770
7708,ENSG00000180979,ENSG00000180979.10,LRRC57,LRRC57,ENSP00000326817
7709,ENSG00000180992,ENSG00000180992.7,MRPL14,MRPL14,ENSP00000361084
7710,ENSG00000180998,ENSG00000180998.12,GPR137C,GPR137C,ENSP00000315106
7711,ENSG00000181004,ENSG00000181004.10,BBS12,BBS12,ENSP00000438273
7712,ENSG00000181007,ENSG00000181007.9,ZFP82,ZFP82,ENSP00000431265
7713,ENSG00000181019,ENSG00000181019.13,NQO1,NQO1,ENSP00000319788
7714,ENSG00000181026,ENSG00000181026.15,AEN,AEN,ENSP00000331944
7715,ENSG00000181027,ENSG00000181027.11,FKRP,FKRP,ENSP00000326570
7716,ENSG00000181029,ENSG00000181029.9,TRAPPC5,TRAPPC5,ENSP00000470262
7717,ENSG00000181031,ENSG00000181031.16,RPH3AL,RPH3AL,ENSP00000328977
7718,ENSG00000181035,ENSG00000181035.14,SLC25A42,SLC25A42,ENSP00000326693
7719,ENSG00000181038,ENSG00000181038.14,METTL23,METTL23,ENSP00000482599
7720,ENSG00000181045,ENSG00000181045.15,SLC26A11,SLC26A11,ENSP00000355384
7721,ENSG00000181061,ENSG00000181061.14,HIGD1A,HIGD1A,ENSP00000398064
7722,ENSG00000181090,ENSG00000181090.21,EHMT1,EHMT1,ENSP00000417980
7723,ENSG00000181104,ENSG00000181104.7,F2R,F2R,ENSP00000321326
7724,ENSG00000181135,ENSG00000181135.16,ZNF707,ZNF707,ENSP00000436212
7725,ENSG00000181191,ENSG00000181191.12,PJA1,PJA1,ENSP00000355014
7726,ENSG00000181192,ENSG00000181192.12,DHTKD1,DHTKD1,ENSP00000263035
7727,ENSG00000181220,ENSG00000181220.17,ZNF746,ZNF746,ENSP00000395007
7728,ENSG00000181222,ENSG00000181222.19,POLR2A,POLR2A,ENSP00000480158
7729,ENSG00000181274,ENSG00000181274.7,FRAT2,FRAT2,ENSP00000360058
7730,ENSG00000181284,ENSG00000181284.3,TMEM102,TMEM102,ENSP00000315387
7731,ENSG00000181315,ENSG00000181315.11,ZNF322,ZNF322,ENSP00000482607
7732,ENSG00000181350,ENSG00000181350.12,LRRC75A,LRRC75A,ENSP00000419502
